method,p_noise,mean_pehe,std_pehe,sem_pehe,n
BERT_CF,0.0,0.07906327551468295,0.007220500430380295,0.004168757867163872,3
BERT_TARNet,0.0,0.13747751262116392,0.04450834158585901,0.02569690299577951,3
CTRL_DML,0.0,0.5935901506716076,0.016297690239985774,0.009409475847224924,3
CTRL_DML,0.3,0.8553546073055104,0.024383841029361995,0.01407801718217919,3
CTRL_DML,0.6,1.0276381634646703,0.015418106340990875,0.008901647846365357,3
TFIDF_CF,0.0,1.2145501506063503,0.016790390057350366,0.009693936219410051,3
TFIDF_CF,0.3,1.2145501506063503,0.016790390057350366,0.009693936219410051,3
TFIDF_CF,0.6,1.21455015060635,0.016790390057350335,0.009693936219410032,3
