n,n_noise,runs,dropout,alpha,n_ensemble,mc_coverage,conf_coverage,mc_width,conf_width,cal_size,seed,eval_size
2000,50,100,0.6,0.05,1,0.3875,0.9525,2.1542292,5.209484,100,42,
2000,50,100,0.6,0.05,1,0.4033333333333333,0.9833333333333332,2.133186,5.5193105,100,7,300.0
