seed,n_samples,n_noise,nuisance_strength,pehe_plugin,pehe_dml
42,1000,50,strong,1.5399513244628906,1.5234166383743286
42,1000,50,weak,1.5587670803070068,1.5242944955825806
7,1000,50,strong,1.509512186050415,1.537800669670105
7,1000,50,weak,1.5196540355682373,1.5383557081222534
