variant,use_gating,lambda_sparsity,seed,pehe_dml,pehe_plugin
no_gating,0,0.0,42,1.7259666919708252,1.6610236167907715
no_gating,0,0.0,1024,1.715404987335205,1.5647900104522705
no_gating,0,0.0,2023,1.7361246347427368,1.6526528596878052
gating_no_L1,1,0.0,42,2.1468722820281982,1.7960137128829956
gating_no_L1,1,0.0,1024,2.136495590209961,1.5070436000823975
gating_no_L1,1,0.0,2023,2.1332926750183105,1.627012014389038
gating_L1,1,0.05,42,2.141505241394043,1.7962089776992798
gating_L1,1,0.05,1024,2.136975049972534,1.5070000886917114
gating_L1,1,0.05,2023,2.121971845626831,1.6261961460113525
