,mask
age,0.6521360278129578
educ,0.6599971055984497
married,0.9256447553634644
nodegree,0.7534928321838379
re74,0.2667384147644043
re75,0.1684885174036026
race_hispan,0.6836035251617432
race_white,0.8062824010848999
