seed,n_samples,n_noise,nuisance_strength,pehe_plugin,pehe_dml
42,2000,50,strong,1.7962108850479126,8.74881362915039
42,2000,50,weak,1.7962108850479126,8.401017189025879
7,2000,50,strong,1.5162662267684937,8.803193092346191
7,2000,50,weak,1.5162662267684937,8.471217155456543
1024,2000,50,strong,1.5070000886917114,8.78619384765625
1024,2000,50,weak,1.5070000886917114,8.510614395141602
