epoch,conf_weight,inst_weight,prog_weight,noise_weight
0,0.4699930250644684,0.5102005004882812,0.5311395525932312,0.5011829733848572
10,0.47438889741897583,0.5587176084518433,0.5537723898887634,0.5031375288963318
20,0.5253201723098755,0.630443274974823,0.5857872366905212,0.5119759440422058
30,0.5946167707443237,0.70135098695755,0.6181004047393799,0.5262710452079773
40,0.6608844995498657,0.7422787547111511,0.6367701292037964,0.5354148149490356
50,0.7042673826217651,0.7205094695091248,0.628931999206543,0.5211929082870483
60,0.7185379862785339,0.6612122654914856,0.6003085970878601,0.49609196186065674
70,0.7141768336296082,0.6057006120681763,0.5713356733322144,0.47698116302490234
80,0.692231297492981,0.5631952285766602,0.5490631461143494,0.4609401226043701
90,0.6539955735206604,0.5235991477966309,0.5226152539253235,0.439004123210907
100,0.6098294258117676,0.4913274645805359,0.4880081117153168,0.412550151348114
110,0.5692799687385559,0.4644504189491272,0.45068931579589844,0.3849439322948456
120,0.5302371978759766,0.437816321849823,0.40735578536987305,0.3572496473789215
130,0.4970723092556,0.411431223154068,0.37224483489990234,0.32713809609413147
140,0.47027474641799927,0.37872228026390076,0.3409215807914734,0.29890429973602295
150,0.4485604166984558,0.3496629595756531,0.3147140443325043,0.2754732072353363
160,0.42290621995925903,0.32051700353622437,0.2930648922920227,0.25370705127716064
170,0.4072820246219635,0.30138951539993286,0.27603310346603394,0.23712158203125
180,0.39196282625198364,0.2783399224281311,0.26436513662338257,0.2205784171819687
190,0.37495866417884827,0.26228201389312744,0.2508949935436249,0.20810949802398682
199,0.36371827125549316,0.25655385851860046,0.2405168116092682,0.19830641150474548
