feature,smd_unweighted,smd_weighted
is_open,0.19650633130838838,0.024443879152865607
biz_review_count,0.3750874584331006,0.08819977018249661
biz_stars,0.02141643937767528,0.05229204510514532
price,0.9377475185100912,0.14607450981691197
user_avg,0.08966877806697066,0.041466452529712795
user_review_count,0.008875910660282548,0.0021487049142920327
fans,0.0032944715978032104,0.004276077949282294
tenure,0.032415230442278564,0.06446640545599984
