seed,n_samples,n_noise,nuisance_strength,pehe_plugin,pehe_dml
42,1000,50,strong,1.534013032913208,8.172769546508789
42,1000,50,weak,1.534013032913208,8.045949935913086
7,1000,50,strong,1.517156958580017,8.201752662658691
7,1000,50,weak,1.517156958580017,8.197062492370605
