p_noise,seed,pehe_multimodal,pehe_tabular
0.0,42,0.5911961793899536,0.5873044729232788
0.0,7,0.6441419720649719,0.5604791045188904
0.5,42,0.5991537570953369,0.5873044729232788
0.5,7,0.6662935614585876,0.5604791045188904
