seed,confounders,pehe_plugin,pehe_dml
42,with_conf,1.606379747390747,1.6016124486923218
42,no_conf,1.5975701808929443,1.5935697555541992
7,with_conf,1.5191519260406494,1.5173959732055664
7,no_conf,1.5053235292434692,1.5058635473251343
1024,with_conf,1.7868640422821045,1.7785569429397583
1024,no_conf,1.965282917022705,1.9552336931228638
