dataset,method,ate,ci_lower,ci_upper
lalonde,OLS,0.06600771099328995,-0.4286905325949192,0.42908254265785184
lalonde,CTRL-DML,-0.3744165897369385,-0.9320223063230514,0.2526961423456667
lalonde,CausalForest,1.0537614507623803,-3.4479546062944673,5.5554775078192264
